Gender,Age,Employment Type,Credit Score,Source of Lead,Loan Period,Value of Collateral,Monthly Income,Bank Account Type,Existing EMI,Loan Amount,Estimated EMI,New Debt to Income ratio,Loan Approved
Male,64,Self Employed,637,Call,5,9398,136924,Savings,19786,85449,17390.031159721395,0.2715085095361032,0
Female,24,Salaried,469,Online,10,61140,104646,Savings,19124,343120,35422.44717993659,0.5212473212539093,0
Female,49,Salaried,678,Walk-in,10,135590,151255,Savings,13071,118681,12252.190061092486,0.16742051542820063,0
Female,53,Salaried,651,Walk-in,30,438668,34023,Savings,9113,352471,12841.19077993029,0.6452749839793754,0
Male,54,Salaried,709,Walk-in,10,260927,23957,Current,13760,150190,15505.06336545429,1.2215662798119251,0
Male,25,Salaried,660,Walk-in,10,311600,31620,Savings,9912,245766,25371.97818146507,1.1158753378072446,0
Male,57,Salaried,731,Call,10,447506,19491,Savings,8094,175696,18138.209022284154,1.345862655701819,0
Female,57,Business,830,Walk-in,20,298366,123500,Savings,6170,86387,4588.78190208611,0.08711564293187134,1
Female,34,Salaried,591,Online,5,6082,53728,Current,19567,135098,27494.276464511473,0.8759171468230992,0
Female,34,Salaried,409,Online,5,496869,79650,Savings,9707,371206,75545.45877278305,1.070338465446115,0
Male,40,Salaried,575,Walk-in,10,361298,180639,Savings,7984,145438,15014.484358112664,0.12731738084307742,0
Others,52,Salaried,477,Walk-in,1,153183,18387,Savings,11801,104488,105097.51333333229,6.357671905875471,0
Female,24,Salaried,649,Walk-in,20,352750,31025,Savings,10501,429123,22794.539180303724,1.0731841798647452,0
Male,48,Salaried,472,Walk-in,10,282083,147518,Savings,4742,185453,19145.48582671013,0.16192929558908153,0
Male,61,Salaried,642,Walk-in,5,182898,119673,Current,10928,470850,95824.36507805611,0.8920338345161909,0
Male,28,Salaried,571,Walk-in,20,314726,118896,Savings,15658,125417,6662.012337665779,0.1877271929893838,0
Male,45,Self Employed,590,Walk-in,5,310963,172682,Savings,13744,441121,89774.11011489262,0.5994724992465493,0
Female,52,Salaried,623,Walk-in,30,204148,183053,Current,1502,451352,16443.614200609685,0.09803507290571412,0
Male,31,Salaried,640,Walk-in,30,19533,175381,Current,1636,161852,5896.577052050458,0.04294978961261744,0
Male,52,Salaried,600,Walk-in,10,178502,74388,Savings,1809,243413,25129.063113225417,0.3621291486963679,0
Female,41,Business,576,Walk-in,1,396563,135747,Savings,8458,402004,404349.02333332936,3.041002919647059,0
Male,50,Business,850,Walk-in,5,441695,176506,Savings,17051,280925,57172.050036217304,0.4205129006165077,1
Male,49,Salaried,843,Online,10,266093,125930,Savings,2821,469687,48488.7588849466,0.4074466678706154,1
Male,55,Salaried,718,Walk-in,20,95413,144442,Savings,3945,407835,21663.744163326526,0.17729430611128708,0
Male,36,Salaried,631,Walk-in,1,410104,49226,Savings,4490,161125,162064.89583333174,3.3834740956675686,0
Female,39,Salaried,685,Walk-in,1,356958,33406,Savings,16097,301866,303626.884999997,9.570852092438393,0
Male,39,Salaried,458,Walk-in,1,466517,180788,Savings,12383,202664,203846.20666666466,1.19603738448716,0
Female,43,Business,821,Walk-in,10,161156,37989,Savings,2026,116341,12010.61706505305,0.3694916177065216,0
Female,37,Salaried,496,Walk-in,20,36174,57580,Savings,16438,269784,14330.627717971443,0.5343631072937035,0
Male,53,Business,616,Walk-in,1,392171,60731,Savings,7474,499434,502347.36499999504,8.394746752070525,0
Female,44,Salaried,669,Email,1,183741,92541,Current,9832,57683,58019.484166666094,0.7332045705867247,0
Male,26,Salaried,745,Online,10,195068,152933,Savings,1814,234889,24249.076695174066,0.170421535542846,0
Male,49,Salaried,709,Walk-in,20,305808,55039,Savings,10541,491817,26124.77512517259,0.6661780760037898,0
Female,40,Business,814,Walk-in,20,97527,156425,Savings,12507,9427,500.7518144045488,0.0831564763586674,0
Others,40,Business,757,Walk-in,20,110260,121171,Savings,7147,217569,11557.024664069511,0.15436057030204844,0
Female,34,Salaried,744,Walk-in,1,47634,161702,Savings,12715,332293,334231.37583333004,2.1455911233833227,0
Male,43,Salaried,614,Walk-in,5,70793,79050,Savings,4236,227623,46324.36965522432,0.6395998691362975,0
Male,39,Business,457,Walk-in,30,493099,142281,Savings,14255,464284,16914.751625152578,0.21907177785616194,0
Female,35,Self Employed,724,Walk-in,30,386785,85254,Savings,14861,293772,10702.674256326565,0.299853077349175,1
Male,34,Business,617,Walk-in,10,259416,117454,Savings,4253,85155,8791.089093050536,0.11105700183093412,0
Male,50,Salaried,588,Email,10,233691,31907,Savings,16488,107230,11070.030925345653,0.8636985904455339,0
Female,53,Business,574,Online,30,363135,115785,Savings,15225,476343,17354.083994667173,0.28137568765096665,0
Male,37,Salaried,752,Email,5,121998,19484,Current,7861,237287,48291.12480891303,2.8819608298559345,0
Female,56,Salaried,611,Walk-in,1,300435,38194,Savings,1208,24652,24795.80333333309,0.6808347733500835,0
Male,27,Business,789,Walk-in,10,403126,38886,Savings,13528,366725,37859.34058656519,1.3214869255404307,0
Female,46,Salaried,727,Walk-in,30,292748,23537,Savings,13342,373377,13602.836232875987,1.1447863463005474,0
Male,35,Salaried,658,Walk-in,10,414099,38399,Savings,12566,32461,3351.1542839470785,0.41452002093666707,0
Female,33,Salaried,668,Walk-in,20,93738,106810,Savings,2995,59866,3180.0157124369066,0.057813085969824055,0
Female,23,Business,745,Walk-in,5,53726,21892,Current,7642,447091,90989.0861359524,4.50534835263806,0
Male,45,Salaried,814,Walk-in,1,187089,144579,Savings,4320,166959,167932.92749999833,1.1914104226754807,0
Others,52,Business,659,Walk-in,1,228264,55544,Savings,1906,129933,130690.9424999987,2.387241511234313,0
Female,49,Salaried,547,Walk-in,30,351791,122617,Savings,18094,33813,1231.8720798073682,0.1576116858168718,0
Female,33,Salaried,631,Walk-in,5,168155,34267,Savings,11440,312574,63613.05105640504,2.1902428300232013,0
Female,58,Salaried,786,Walk-in,1,362862,55396,Savings,4179,282826,284475.8183333305,5.210752009772015,0
Female,47,Salaried,709,Walk-in,30,185539,128204,Savings,2139,191762,6986.255397865334,0.0711776184663921,0
Female,29,Salaried,550,Walk-in,5,406487,177412,Savings,16391,100398,20432.35553808363,0.2075584263639643,0
Male,36,Salaried,634,Walk-in,20,447147,122478,Savings,11925,43568,2314.2839768725344,0.1162599322071926,1
Male,29,Business,816,Walk-in,10,249580,58404,Current,3645,272287,28109.908706235117,0.5437111962577069,0
Male,43,Business,753,Walk-in,1,326600,182300,Current,9846,293426,295137.6516666637,1.672976695922456,0
Male,46,Salaried,543,Walk-in,10,300718,66736,Savings,8670,433140,44715.78098483835,0.7999547618202821,0
Male,56,Salaried,802,Walk-in,30,313265,161709,Savings,12395,474201,17276.04684934001,0.18348420217390504,1
Male,43,Business,612,Walk-in,1,289823,192252,Savings,12119,161873,162817.25916666506,0.9099320639923905,0
Female,37,Salaried,850,Walk-in,20,338938,81843,Savings,11889,80161,4258.063667601892,0.19729315479151413,1
Male,40,Salaried,617,Online,1,1759,161652,Savings,2014,192164,193284.95666666474,1.2081443883568699,0
Male,52,Salaried,622,Email,5,494645,66376,Savings,18011,138121,28109.497990753294,0.6948369590025506,0
Female,54,Business,499,Online,5,55718,51212,Current,15762,342693,69742.67631240159,1.6696218915957508,0
Male,47,Salaried,771,Walk-in,20,159700,193476,Savings,7525,343662,18254.945374127088,0.13324621851871596,0
Female,40,Business,605,Online,10,160747,65403,Savings,17626,450181,46475.03116667939,0.9800931328330412,0
Male,31,Business,833,Online,5,411881,172319,Savings,9364,448502,91276.24378515096,0.5840345161308443,1
Others,47,Salaried,609,Walk-in,20,62268,106126,Savings,5476,471505,25045.824148808402,0.28759987325262804,0
Female,30,Salaried,750,Walk-in,1,103533,85277,Savings,7218,453587,456232.92416666215,5.434653237879641,0
